Time [s],Channel 1,Channel 2,Channel 4
6.073586875,0,1,0
6.073588125,0,1,1
6.073588375,0,1,0
6.073588875,0,1,1
6.073589125,0,1,0
6.073589625,0,1,1
6.073589875,0,1,0
6.073590250,0,1,1
6.073590500,0,1,0
6.073591250,0,1,1
6.073591500,1,1,0
6.073591875,1,1,1
6.073592125,0,1,0
6.073592625,0,1,1
6.073592875,1,1,0
6.073593375,1,1,1
6.073593625,0,1,0
6.073594875,0,1,1
6.073595125,0,1,0
6.073595500,0,1,1
6.073595750,0,1,0
6.073596250,0,1,1
6.073596500,0,1,0
6.073596875,0,1,1
6.073597125,0,1,0
6.073597875,0,1,1
6.073598125,1,1,0
6.073598625,1,1,1
6.073598875,1,1,0
6.073599375,1,1,1
6.073599625,0,1,0
6.073600000,0,1,1
6.073600250,0,1,0
6.073601500,0,1,1
6.073601750,0,1,0
6.073602125,0,1,1
6.073602375,0,1,0
6.073602875,0,1,1
6.073603125,0,1,0
6.073603625,0,1,1
6.073603875,0,1,0
6.073604625,0,1,1
6.073604875,1,1,0
6.073605250,1,1,1
6.073605500,1,1,0
6.073606000,1,1,1
6.073606250,1,1,0
6.073606625,1,1,1
6.073606875,0,1,0
6.073608125,0,1,1
6.073608375,0,1,0
6.073608875,0,1,1
6.073609125,0,1,0
6.073609625,0,1,1
6.073609875,0,1,0
6.073610250,0,1,1
6.073610500,1,1,0
6.073611250,1,1,1
6.073611500,0,1,0
6.073611875,0,1,1
6.073612125,0,1,0
6.073612625,0,1,1
6.073612875,0,1,0
6.073613375,0,1,1
6.073613625,0,1,0
6.073614875,0,1,1
6.073615125,0,1,0
6.073615500,0,1,1
6.073615750,0,1,0
6.073616250,0,1,1
6.073616500,0,1,0
6.073616875,0,1,1
6.073617125,1,1,0
6.073617875,1,1,1
6.073618125,0,1,0
6.073618625,0,1,1
6.073618875,0,1,0
6.073619375,0,1,1
6.073619625,1,1,0
6.073620000,1,1,1
6.073620250,0,1,0
6.073621500,0,1,1
6.073621750,0,1,0
6.073622125,0,1,1
6.073622375,0,1,0
6.073622875,0,1,1
6.073623125,0,1,0
6.073623625,0,1,1
6.073623875,1,1,0
